site_id,nitrate_mg_L,temperature_C,rainfall_mm,land_use,risk_level
S01,0.0,15.2,8.0,Forest,Low
S02,0.2,16.1,12.5,Agriculture,Low
S03,0.4,17.3,18.0,Urban,Medium
S04,0.5,18.0,22.0,Forest,Low
S05,0.7,18.6,30.0,Agriculture,Medium
S06,0.8,19.2,35.0,Urban,Medium
S07,1.0,19.8,42.0,Forest,Low
S08,1.1,20.1,48.0,Agriculture,Medium
S09,1.2,20.5,55.0,Urban,High
S10,1.4,21.0,60.0,Forest,Low
S11,1.5,21.4,70.0,Agriculture,Medium
S12,1.7,21.8,82.0,Urban,High
S13,2.0,22.1,95.0,Forest,Medium
S14,2.2,22.4,110.0,Agriculture,Medium
S15,2.5,22.8,125.0,Urban,High
S16,2.8,23.1,145.0,Forest,Medium
S17,3.0,23.5,165.0,Agriculture,High
S18,3.5,23.9,190.0,Urban,High
S19,5.0,24.3,230.0,Forest,Medium
S20,8.0,24.8,280.0,Agriculture,High
S21,15.0,25.2,360.0,Urban,High
S22,30.0,25.8,500.0,Industrial,High
