Sample_ID,Season,Site_type,Extreme_Temperature,Flow_m3_s,Water_Temperature_C,pH,DO_mg_L,Turbidity_NTU,TN_mg_L,TP_mg_L,Rainfall_7d_mm,Algae_Bloom
S001,Summer,Agricultural stream,Yes,9.47,25.34,7.18,,6.72,2.83,0.178,8.59,Yes
S002,Winter,Reservoir,No,3.76,7.08,7.88,8.52,22.83,2.22,0.033,20.35,No
S003,Autumn,Reservoir,No,5.68,22.64,7.53,6.2,10.87,2.33,0.124,16.78,No
S004,Summer,Urban stream,Yes,10.57,32.7,7.62,4.81,15.36,0.93,0.023,39.77,No
S005,Spring,Wetland,No,6.54,21.31,7.37,5.33,9.45,2.53,0.184,20.07,No
S006,Spring,Reservoir,Yes,7.43,26.97,7.64,6.41,13.15,2.43,0.076,2.16,No
S007,Spring,Agricultural stream,No,16.27,18.67,7.86,7.61,19.43,1.89,0.145,31.58,No
S008,Winter,Reservoir,No,7.56,6.63,6.98,6.86,12.96,1.83,0.166,21.56,No
S009,Autumn,Agricultural stream,No,7.62,22.47,7.23,7.59,11.88,2.57,0.086,11.29,No
S010,Autumn,Urban stream,No,13.4,23.56,7.4,6.71,11.36,1.91,0.03,6.34,No
S011,Spring,Agricultural stream,No,13.62,16.89,6.86,8.02,29.18,2.83,0.121,39.09,No
S012,Winter,Reservoir,No,2.75,7.73,7.01,6.61,21.27,3.0,0.152,17.84,No
S013,Autumn,Urban stream,No,11.67,15.79,7.24,5.69,17.66,2.76,0.024,29.9,No
S014,Spring,Urban stream,No,12.13,14.24,7.84,7.39,2.96,1.08,0.01,7.98,No
S015,Spring,Urban stream,Yes,8.46,25.17,7.67,6.32,6.97,2.44,0.077,6.76,No
S016,Spring,Urban stream,Yes,15.72,25.15,7.64,7.37,16.85,2.93,0.128,21.21,No
S017,Summer,Wetland,No,4.91,18.97,7.87,7.29,3.93,2.27,0.19,6.11,No
S018,Summer,Reservoir,Yes,6.32,30.62,7.54,4.92,5.4,2.76,0.077,9.31,Yes
S019,Summer,Agricultural stream,Yes,7.84,26.52,7.74,4.39,25.86,4.01,0.129,40.3,Yes
S020,Summer,Urban stream,No,9.44,23.68,7.49,7.09,10.08,2.72,,9.62,No
S021,Autumn,Agricultural stream,No,5.51,14.08,7.56,6.25,7.69,2.77,0.057,3.39,No
S022,Spring,Agricultural stream,No,4.87,18.92,7.23,7.86,3.18,3.33,0.131,2.16,No
S023,Summer,Urban stream,Yes,17.14,28.93,6.49,5.25,6.18,2.1,0.11,2.97,No
S024,Summer,Agricultural stream,Yes,6.05,25.6,7.5,7.21,15.37,2.62,0.172,31.09,No
S025,Summer,Agricultural stream,Yes,5.73,31.37,8.25,5.76,14.23,2.35,0.125,8.41,Yes
S026,Autumn,Reservoir,No,1.3,20.48,7.92,6.15,38.65,3.09,0.102,61.05,Yes
S027,Spring,Reservoir,No,4.04,21.97,7.95,6.04,13.17,1.43,0.01,36.44,No
S028,Summer,Urban stream,Yes,6.07,26.21,8.12,5.28,22.34,3.07,0.067,46.64,Yes
S029,Summer,Agricultural stream,Yes,16.47,26.04,7.6,6.02,10.65,2.95,0.173,26.95,No
S030,Spring,Reservoir,No,10.14,23.22,7.62,6.53,11.95,1.02,0.051,20.44,No
S031,Autumn,Agricultural stream,No,6.42,17.96,7.2,6.1,8.53,2.86,0.153,6.54,No
S032,Spring,Wetland,No,18.36,19.38,7.35,6.89,4.74,0.53,0.152,13.3,No
S033,Spring,Reservoir,No,9.99,19.58,7.77,6.61,11.24,2.44,0.083,21.9,No
S034,Winter,Urban stream,No,8.38,13.02,7.97,5.37,12.61,2.62,0.109,25.83,No
S035,Winter,Urban stream,No,4.4,4.25,7.28,9.01,9.14,1.59,0.052,4.68,No
S036,Autumn,Reservoir,No,19.22,19.69,7.29,5.73,11.49,2.09,0.09,11.43,No
S037,Summer,Urban stream,Yes,5.95,27.7,7.58,4.3,8.02,3.37,0.131,12.5,Yes
S038,Spring,Agricultural stream,No,4.52,22.31,7.79,4.74,12.34,2.25,,12.12,No
S039,Autumn,Wetland,No,9.71,16.03,6.81,5.65,5.65,1.26,0.101,5.31,No
S040,Summer,Agricultural stream,No,,20.8,6.47,4.88,24.04,,0.161,43.11,No
S041,Spring,Agricultural stream,No,14.78,14.78,7.2,6.09,19.38,3.97,0.186,11.13,No
S042,Summer,Reservoir,No,8.02,23.75,6.99,7.91,15.26,2.0,0.01,5.68,Yes
S043,Spring,Agricultural stream,No,10.66,23.06,7.3,5.43,19.21,3.31,0.208,43.8,No
S044,Winter,Agricultural stream,No,11.85,7.79,7.31,,26.56,3.54,0.133,36.47,No
S045,Summer,Wetland,Yes,8.4,,7.41,5.73,16.74,1.48,0.151,14.84,Yes
S046,Autumn,Agricultural stream,No,9.39,14.18,8.1,7.35,4.34,2.26,0.21,9.08,No
S047,Summer,Wetland,Yes,5.74,28.92,7.74,5.24,11.32,2.86,0.061,2.71,Yes
S048,Summer,Wetland,No,,21.62,7.65,5.03,22.41,3.18,0.095,19.37,No
S049,Summer,Urban stream,No,7.26,23.16,7.81,7.43,,2.39,0.086,8.55,No
S050,Spring,Urban stream,No,8.51,22.19,7.01,8.12,7.29,1.38,0.061,13.05,No
S051,Winter,Urban stream,No,5.45,8.49,7.85,6.12,29.67,3.39,0.187,41.29,No
S052,Autumn,Urban stream,No,9.07,16.81,7.43,6.15,10.97,1.63,0.057,8.03,No
S053,Winter,Urban stream,No,6.74,14.52,7.75,7.06,17.21,1.77,0.072,18.78,No
S054,Winter,Reservoir,No,3.0,6.84,6.89,7.25,,2.24,0.11,22.91,No
S055,Summer,Urban stream,Yes,10.01,30.56,6.91,5.52,21.65,3.09,0.04,30.44,Yes
S056,Winter,Urban stream,No,15.82,8.77,7.76,7.14,4.91,2.6,0.08,12.33,No
S057,Spring,Reservoir,No,9.67,20.07,7.67,8.47,16.34,2.29,0.116,,No
S058,Spring,Urban stream,No,5.64,22.81,7.12,7.25,16.86,2.32,0.083,11.13,No
S059,Spring,Reservoir,No,3.23,13.45,7.04,7.57,12.73,2.03,0.095,17.5,No
S060,Summer,Urban stream,Yes,13.28,25.91,8.07,6.72,21.74,2.39,0.074,35.45,Yes
S061,Summer,Urban stream,Yes,6.75,29.51,7.06,6.9,3.17,0.23,0.024,10.72,No
S062,Summer,Reservoir,Yes,5.18,26.69,8.31,5.34,8.89,1.79,0.116,0.7,No
S063,Autumn,Reservoir,No,7.96,19.11,7.09,5.93,19.98,2.17,0.188,24.71,Yes
S064,Summer,Wetland,No,2.78,22.27,7.81,6.6,12.01,1.19,0.131,14.04,No
S065,Summer,Reservoir,Yes,6.25,28.62,,6.27,20.35,2.27,0.111,19.4,Yes
S066,Summer,Reservoir,Yes,2.55,28.89,7.86,5.69,5.6,1.86,0.135,2.83,Yes
S067,Spring,Urban stream,Yes,7.64,27.57,7.33,3.97,12.68,3.23,0.037,8.58,Yes
S068,Autumn,Urban stream,No,10.53,21.21,7.44,5.46,11.4,3.1,0.185,23.33,No
S069,Spring,Reservoir,No,2.11,22.24,7.54,6.35,7.74,1.67,0.11,4.12,No
S070,Winter,Reservoir,No,7.51,5.33,6.9,8.32,13.57,1.89,0.182,18.75,No
S071,Autumn,Wetland,No,5.32,18.23,7.82,8.6,12.96,1.95,0.093,12.97,No
S072,Spring,Agricultural stream,No,10.47,19.08,7.26,5.39,7.34,2.28,0.241,7.09,No
S073,Spring,Agricultural stream,No,9.17,22.41,7.42,6.58,8.31,2.74,0.189,6.59,No
S074,Autumn,Reservoir,No,12.15,15.39,7.01,8.63,12.54,1.47,0.128,5.35,Yes
S075,Autumn,Agricultural stream,No,8.82,15.47,6.3,9.24,10.11,1.81,0.162,13.98,No
S076,Autumn,Wetland,Yes,4.09,27.22,7.49,5.26,4.83,2.44,0.118,15.24,No
S077,Autumn,Wetland,No,5.81,22.93,8.61,6.58,19.2,2.44,0.19,9.89,No
S078,Spring,Agricultural stream,No,10.44,17.98,7.83,7.35,15.18,2.04,0.157,5.04,No
S079,Summer,Reservoir,Yes,6.05,30.98,7.6,5.3,7.8,2.63,0.01,18.37,Yes
S080,Spring,Reservoir,No,6.03,16.25,7.34,7.07,20.71,1.56,0.044,25.02,No
S081,Winter,Urban stream,No,7.39,1.82,7.33,9.13,12.85,2.18,0.091,20.8,No
S082,Autumn,Wetland,No,3.48,16.12,7.71,4.64,28.86,2.57,0.145,47.87,No
S083,Summer,Agricultural stream,No,4.93,20.39,6.97,7.02,12.66,2.58,0.147,11.53,No
S084,Spring,Reservoir,No,14.74,17.77,7.98,6.9,19.75,2.32,0.161,33.17,No
S085,Summer,Agricultural stream,Yes,5.22,26.59,7.89,5.55,5.55,2.24,0.052,7.71,Yes
S086,Summer,Wetland,Yes,,32.95,7.95,6.92,5.55,1.86,0.137,6.67,No
S087,Autumn,Agricultural stream,No,6.35,18.22,7.68,6.09,8.01,2.46,0.059,14.64,No
S088,Autumn,Urban stream,No,13.05,16.13,7.47,6.83,,1.48,0.138,38.14,No
S089,Winter,Wetland,No,4.47,10.42,7.71,9.57,10.41,1.88,0.125,10.54,No
S090,Summer,Urban stream,No,14.96,19.09,7.76,6.23,3.69,0.92,0.121,,No
S091,Spring,Urban stream,No,7.46,22.13,7.36,5.94,20.52,1.66,0.057,24.69,No
S092,Autumn,Wetland,No,6.38,21.43,7.26,6.35,,1.8,0.194,12.55,No
S093,Autumn,Wetland,No,,11.65,7.46,8.4,10.6,1.82,0.182,16.66,No
S094,Summer,Agricultural stream,Yes,20.4,33.47,8.33,5.06,10.34,2.43,0.179,6.98,Yes
S095,Autumn,Reservoir,No,2.83,19.52,6.94,5.5,15.04,1.96,0.094,14.54,No
S096,Summer,Agricultural stream,Yes,9.49,27.25,6.91,,9.85,2.94,0.179,3.31,No
S097,Summer,Urban stream,Yes,11.83,30.16,7.68,4.68,,2.61,0.065,43.55,Yes
S098,Summer,Agricultural stream,Yes,9.9,33.65,7.66,4.86,22.26,2.15,0.193,27.89,Yes
S099,Spring,Reservoir,No,5.3,21.29,7.59,7.04,14.73,1.16,0.182,14.05,No
S100,Spring,Reservoir,No,5.47,21.79,7.63,,10.71,1.27,0.154,,No
S101,Spring,Reservoir,No,6.04,21.84,7.42,4.87,13.82,1.66,0.064,7.73,No
S102,Autumn,Reservoir,No,5.42,14.68,8.12,8.26,22.61,1.75,0.118,27.05,No
S103,Summer,Urban stream,Yes,13.4,29.74,6.88,5.79,6.76,1.46,0.035,10.17,No
S104,Summer,Agricultural stream,No,20.98,21.11,7.14,7.79,10.5,1.69,0.179,9.58,No
S105,Winter,Urban stream,No,7.75,10.8,7.36,8.18,11.98,1.68,0.123,5.7,No
S106,Spring,Agricultural stream,No,4.99,18.93,6.75,7.54,13.15,2.73,0.057,18.2,No
S107,Summer,Agricultural stream,Yes,8.1,29.23,7.51,5.66,17.48,3.02,0.092,13.59,Yes
S108,Autumn,Wetland,No,21.59,17.33,8.22,8.23,33.07,1.61,0.116,33.88,No
