sample_id,Flow_m3_s,Temperature_C,TN_status,pH,DO_mg_L,Turbidity_NTU,EC_uS_cm,TOC_mg_L
S001,22.81,19.32,Bad,7.45,7.54,18.49,640.9,107.51
S002,17.63,21.48,Bad,7.75,5.64,18.63,391.3,85.22
S003,16.95,21.02,Bad,7.06,6.98,69.89,458.3,103.17
S004,16.95,23.33,Bad,7.39,6.33,3.76,521.9,88.06
S005,34.39,29.66,Bad,7.99,4.7,7.79,588.2,156.79
S006,25.37,19.8,Bad,7.51,6.77,31.76,342.1,98.1
S007,15.36,21.16,Bad,7.4,6.48,9.69,376.1,73.58
S008,23.23,17.05,Bad,6.27,8.1,21.67,553.8,98.06
S009,20.6,23.91,Bad,6.69,6.4,14.15,505.1,103.95
S010,8.35,18.65,Bad,7.78,7.12,47.86,532.9,81.67
S011,12.2,18.65,Bad,7.51,5.9,5.91,276.3,75.5
S012,21.21,23.65,Good,7.6,6.39,26.96,582.5,86.21
S013,33.0,26.5,Bad,7.55,5.95,37.99,340.1,129.56
S014,17.0,7.69,Bad,7.91,11.0,6.3,440.2,67.02
S015,14.88,22.59,Good,7.06,7.09,20.26,404.4,75.72
S016,19.53,18.93,Bad,7.27,5.52,6.5,327.8,75.23
S017,14.53,26.0,Good,6.63,5.54,12.42,271.7,83.09
S018,16.54,19.05,Good,6.5,8.46,10.31,236.9,71.6
S019,18.56,28.05,Bad,6.3,5.53,2.56,432.5,111.95
S020,11.97,16.58,Good,6.71,7.82,16.05,259.8,59.68
S021,25.91,7.56,Bad,8.05,10.26,13.37,300.9,78.59
S022,11.16,26.6,Bad,6.35,4.85,31.86,397.1,115.27
S023,10.66,15.61,Good,7.03,8.15,18.12,142.9,60.28
S024,20.23,11.33,Good,6.49,8.51,54.0,501.8,80.71
S025,25.08,20.59,Good,6.87,6.65,13.06,167.0,69.4
S026,20.02,19.11,Bad,7.29,7.66,11.37,411.9,92.23
S027,17.8,25.27,Bad,6.81,4.9,10.81,421.6,104.25
S028,16.48,25.68,Bad,7.8,6.58,9.15,476.5,96.36
S029,15.41,21.05,Good,8.04,6.23,2.9,415.6,64.37
S030,28.35,15.37,Bad,5.96,8.03,10.56,631.9,112.2
S031,21.29,22.16,Good,6.82,5.2,3.18,442.7,77.9
S032,15.91,21.46,Bad,7.23,7.06,16.34,530.6,98.42
S033,14.07,23.8,Good,7.82,7.12,5.44,344.0,73.02
S034,23.87,15.43,Bad,6.95,7.39,6.81,432.7,93.12
S035,28.07,18.18,Good,7.19,6.31,7.88,582.5,91.9
S036,27.02,23.45,Bad,6.56,6.26,10.66,395.0,95.25
S037,13.13,27.73,Good,6.36,6.26,12.24,440.2,101.24
S038,16.42,26.1,Bad,7.99,4.3,24.65,523.0,121.14
S039,15.29,20.98,Bad,6.2,5.7,8.37,342.1,85.94
S040,17.29,17.67,Good,8.48,6.95,16.64,193.0,66.48
S041,25.81,22.84,Bad,7.6,5.52,71.88,446.8,121.71
S042,31.7,14.17,Bad,7.57,7.43,15.57,523.8,103.42
S043,21.61,15.76,Good,7.52,6.06,10.83,278.1,68.5
S044,14.26,29.26,Good,7.06,5.23,7.34,490.4,114.38
S045,18.39,22.83,Bad,7.42,6.45,10.74,491.1,95.64
S046,34.21,18.48,Good,7.1,5.77,6.85,181.3,73.21
S047,19.34,25.31,Bad,7.5,6.8,14.51,321.7,98.21
S048,16.49,27.96,Good,7.18,6.39,13.03,378.4,107.45
S049,17.05,17.92,Bad,6.68,6.66,2.99,401.1,76.73
S050,21.58,18.02,Good,6.72,8.17,12.04,342.0,77.86
S051,13.3,17.29,Bad,6.66,6.94,24.52,336.3,82.28
S052,15.15,26.09,Bad,7.73,5.61,9.4,595.5,119.7
S053,26.85,26.15,Bad,6.86,4.78,7.97,408.7,116.04
S054,21.33,28.54,Bad,6.15,6.69,4.98,347.0,127.2
S055,19.42,26.35,Good,7.42,5.17,3.64,415.7,88.81
S056,27.41,11.03,Bad,8.03,8.87,20.91,476.4,85.17
S057,13.92,22.13,Good,7.63,5.78,10.83,425.4,63.14
S058,16.3,14.36,Good,6.87,9.53,20.12,398.4,67.59
S059,21.05,17.53,Good,6.33,8.85,32.96,351.7,74.79
S060,20.76,21.49,Good,7.13,7.78,22.17,350.5,74.41
S061,10.28,25.35,Bad,7.11,6.39,8.56,357.2,77.69
S062,15.67,15.33,Bad,6.67,7.33,13.39,455.6,76.92
S063,17.47,7.02,Good,7.5,10.32,8.17,315.6,52.31
S064,21.98,21.55,Good,8.22,6.45,7.69,461.3,85.28
S065,20.73,34.0,Bad,7.32,4.77,15.22,568.4,174.75
S066,18.1,19.32,Good,7.29,7.84,7.09,454.2,73.1
S067,8.33,20.77,Good,6.68,6.11,2.9,381.2,58.48
S068,18.46,30.84,Good,7.97,5.17,6.84,283.7,130.87
S069,19.13,23.92,Bad,7.16,6.48,9.98,585.7,90.38
S070,46.78,21.76,Bad,6.88,4.19,32.75,297.1,123.96
S071,17.24,23.06,Good,7.24,6.77,8.85,509.1,75.91
S072,21.1,21.95,Good,7.46,6.03,16.99,487.0,88.13
S073,29.28,13.89,Bad,7.28,7.44,10.92,395.1,90.07
S074,25.21,12.72,Bad,7.86,7.73,27.04,392.4,94.27
S075,32.25,31.44,Good,7.41,4.17,25.84,227.3,146.02
S076,10.34,21.57,Bad,7.04,6.84,26.17,454.7,79.63
S077,12.31,21.08,Good,7.42,5.47,3.95,485.1,72.76
S078,14.74,19.98,Good,7.47,6.96,13.93,305.6,62.36
S079,9.71,25.03,Bad,6.49,6.15,19.95,403.6,83.98
